Accident_ID,Latitude,Longitude,Date,Time,Day_of_Week,Traffic_Volume,Road_Type,Speed_Limit,Weather_Condition,Visibility,Lighting_Condition,Proximity_to_Intersection,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Pedestrian_Involved,Driver_Distraction
A00001,11.5798,76.4935,2024-02-15,05:06:56,Sunday,512,Urban,70,Rain,1998,Daylight,185,3,3,0,Yes,None
A00002,12.307,75.0016,2024-04-11,00:37:00,Tuesday,1615,Highway,70,Overcast,624,Daylight,200,2,4,3,No,None
A00003,8.7993,77.0959,2024-03-12,06:47:02,Friday,1809,Highway,40,Clear,1746,Night,143,2,1,0,No,None
A00004,8.4378,76.5727,2024-02-11,05:15:34,Thursday,1146,Highway,40,Overcast,395,Daylight,164,1,3,2,Yes,Alcohol
A00005,9.3359,76.8484,2024-07-12,17:22:25,Tuesday,202,Urban,30,Rain,183,Daylight,55,1,2,1,No,Fatigue
A00006,11.7076,76.951,2024-01-29,21:55:09,Sunday,786,Residential,50,Clear,1967,Night,136,2,4,2,No,Alcohol
A00007,9.2609,76.031,2024-06-20,07:44:23,Tuesday,750,Urban,40,Rain,1211,Daylight,46,1,3,3,No,Mobile
A00008,8.811,75.1928,2024-07-25,06:42:02,Monday,1399,Highway,70,Overcast,179,Daylight,80,2,4,3,Yes,None
A00009,11.5329,74.2283,2024-07-13,17:23:47,Friday,1393,Highway,50,Fog,268,Night,106,1,4,0,No,Fatigue
A00010,10.9474,76.3359,2024-10-24,13:49:43,Wednesday,1417,Residential,40,Overcast,1279,Daylight,55,1,2,2,Yes,Mobile
A00011,8.6683,74.4311,2024-02-16,23:05:30,Wednesday,810,Residential,40,Overcast,144,Night,112,3,4,3,Yes,Mobile
A00012,12.4477,74.3326,2024-08-26,23:29:10,Friday,1488,Urban,50,Rain,222,Daylight,19,2,1,2,No,Alcohol
A00013,8.1531,77.4958,2024-10-22,19:52:37,Friday,584,Urban,70,Overcast,1684,Night,29,3,3,0,Yes,Fatigue
A00014,9.1683,76.4964,2024-02-09,10:52:10,Monday,1953,Highway,30,Rain,824,Night,11,1,1,1,No,None
A00015,12.2784,75.7339,2024-11-21,09:39:20,Thursday,1600,Highway,70,Overcast,477,Daylight,82,3,3,1,Yes,None
A00016,10.106,76.5821,2024-04-19,03:22:20,Sunday,1098,Residential,40,Overcast,1679,Night,40,3,4,0,Yes,Alcohol
A00017,10.2605,76.5698,2024-02-28,17:13:01,Monday,858,Urban,50,Fog,772,Night,92,2,1,1,Yes,None
A00018,8.0325,77.1704,2024-12-21,11:23:51,Sunday,393,Residential,30,Overcast,103,Night,18,1,2,0,Yes,Mobile
A00019,9.9559,74.2974,2024-07-15,06:57:55,Tuesday,873,Residential,40,Rain,1048,Daylight,113,3,2,3,Yes,None
A00020,12.1185,75.6528,2024-06-19,01:00:24,Sunday,1922,Residential,40,Fog,1518,Daylight,13,1,3,2,No,Fatigue
A00021,8.1691,74.6951,2024-06-01,12:55:49,Monday,725,Urban,70,Rain,1272,Daylight,49,3,3,1,No,Alcohol
A00022,11.574,76.7598,2024-10-30,14:07:03,Saturday,398,Highway,40,Fog,243,Night,97,3,3,3,No,Alcohol
A00023,11.1212,76.3219,2024-03-25,23:43:24,Saturday,228,Highway,50,Fog,1313,Daylight,172,3,3,2,No,Fatigue
A00024,12.4362,75.0804,2024-08-29,16:36:49,Monday,1848,Residential,60,Overcast,574,Daylight,114,2,4,1,Yes,Alcohol
A00025,9.6426,75.7753,2024-04-26,07:03:20,Friday,1450,Urban,50,Clear,1696,Night,66,3,2,2,No,Fatigue
A00026,11.5049,77.4265,2024-01-19,02:27:19,Sunday,998,Urban,50,Overcast,739,Night,39,2,4,2,No,Alcohol
A00027,10.1694,75.7097,2024-06-04,16:48:53,Thursday,268,Highway,50,Overcast,840,Night,118,2,4,3,No,Fatigue
A00028,10.0803,75.7869,2024-03-28,09:41:39,Sunday,1071,Residential,70,Rain,1275,Daylight,68,3,2,1,No,None
A00029,9.906,74.6892,2024-04-15,18:53:36,Wednesday,795,Highway,40,Clear,1854,Night,94,1,1,3,No,Mobile
A00030,11.481,75.1712,2024-06-08,14:25:03,Thursday,1995,Residential,50,Overcast,1613,Daylight,170,2,1,1,No,Fatigue
A00031,9.0269,77.1795,2024-07-21,10:24:47,Saturday,1016,Residential,40,Fog,315,Night,151,2,3,0,Yes,Alcohol
A00032,10.6375,76.289,2024-03-09,21:55:25,Tuesday,1720,Residential,40,Fog,283,Daylight,175,3,1,2,No,Alcohol
A00033,8.314,75.8562,2024-10-03,07:05:46,Tuesday,268,Residential,70,Clear,1869,Daylight,122,2,1,0,No,Alcohol
A00034,10.3224,76.8828,2024-07-19,13:05:06,Tuesday,1197,Highway,50,Fog,1321,Daylight,114,2,4,3,No,Fatigue
A00035,9.1695,76.9227,2024-12-09,01:01:44,Monday,912,Urban,40,Overcast,578,Night,34,2,3,0,No,Mobile
A00036,10.2979,76.7733,2024-12-16,10:16:17,Sunday,667,Residential,50,Clear,752,Daylight,49,3,1,2,No,Mobile
A00037,12.2438,74.2978,2024-08-11,01:55:08,Wednesday,812,Highway,40,Overcast,1513,Night,43,1,4,0,Yes,Alcohol
A00038,10.5625,74.2981,2024-11-13,12:46:54,Tuesday,963,Urban,60,Overcast,339,Night,14,3,4,1,No,None
A00039,11.5843,75.3491,2024-04-21,02:47:32,Wednesday,1996,Residential,50,Clear,1804,Daylight,118,2,3,1,Yes,None
A00040,11.3846,75.765,2024-05-27,12:07:32,Thursday,516,Urban,40,Clear,338,Daylight,72,3,1,3,No,Fatigue
A00041,8.7546,77.0798,2024-02-19,03:01:09,Monday,1213,Urban,70,Rain,166,Night,133,2,3,2,Yes,Fatigue
A00042,10.4797,74.5978,2024-05-25,17:20:19,Saturday,1081,Highway,40,Fog,1295,Daylight,145,2,2,1,Yes,Fatigue
A00043,12.2919,74.7489,2024-07-19,09:15:00,Tuesday,1645,Residential,50,Rain,226,Daylight,188,2,4,1,Yes,Alcohol
A00044,9.1019,75.0441,2024-10-17,14:57:09,Thursday,564,Residential,30,Rain,905,Night,156,1,4,2,Yes,Alcohol
A00045,11.4332,76.3188,2024-04-19,12:14:46,Monday,1262,Highway,60,Clear,1120,Daylight,114,1,4,2,No,None
A00046,8.187,77.2577,2024-07-11,17:10:31,Monday,724,Residential,40,Overcast,1389,Night,170,1,3,0,No,Mobile
A00047,10.8527,74.1271,2024-10-30,07:30:15,Monday,1442,Urban,70,Clear,315,Daylight,97,2,2,2,No,None
A00048,10.1186,74.6364,2024-08-22,22:39:29,Thursday,976,Residential,30,Rain,1180,Night,45,1,2,0,No,None
A00049,10.3804,74.1483,2024-10-06,09:21:38,Friday,1463,Urban,60,Overcast,895,Daylight,45,3,3,0,Yes,None
A00050,8.4334,77.4373,2024-08-10,08:13:13,Tuesday,1521,Highway,30,Clear,1794,Daylight,177,3,1,1,No,None
A00051,11.7937,77.4018,2024-06-07,10:04:58,Tuesday,834,Highway,60,Overcast,1786,Night,22,1,3,2,No,None
A00052,9.4431,74.6142,2024-07-24,05:48:02,Friday,1107,Residential,50,Fog,196,Daylight,17,2,4,0,Yes,None
A00053,11.2453,75.2769,2024-06-09,20:35:26,Wednesday,1577,Highway,50,Fog,999,Night,53,1,1,1,No,Alcohol
A00054,8.9723,74.0136,2024-11-06,23:29:52,Tuesday,536,Highway,60,Overcast,182,Night,115,2,3,1,Yes,None
A00055,11.5701,76.4294,2024-08-25,21:20:38,Friday,1038,Highway,30,Fog,399,Daylight,165,3,2,3,No,Mobile
A00056,9.2073,75.9039,2024-09-02,17:08:17,Tuesday,1815,Highway,60,Overcast,1032,Night,163,3,1,2,No,None
A00057,8.177,76.5199,2024-11-11,16:00:05,Monday,1601,Urban,40,Fog,517,Night,98,3,3,0,No,Mobile
A00058,10.6165,74.7131,2024-04-21,12:01:30,Friday,733,Urban,60,Rain,846,Daylight,43,3,2,0,No,Fatigue
A00059,8.0154,76.9048,2024-01-07,23:30:32,Wednesday,1522,Highway,50,Overcast,1144,Night,57,3,4,1,No,Alcohol
A00060,10.5601,76.2358,2024-05-01,12:53:52,Saturday,487,Highway,30,Rain,342,Night,194,3,4,1,No,Fatigue
A00061,9.4768,77.1079,2024-04-14,04:29:56,Monday,667,Highway,70,Overcast,1117,Daylight,133,1,3,3,Yes,None
A00062,9.9284,75.4022,2024-09-04,22:12:27,Saturday,1140,Highway,50,Rain,1936,Daylight,153,2,3,0,Yes,Fatigue
A00063,8.8786,77.2485,2024-02-23,19:09:07,Friday,1840,Highway,50,Rain,1348,Night,55,2,3,1,No,Fatigue
A00064,11.2347,76.7511,2024-08-20,21:13:28,Tuesday,1196,Urban,60,Clear,419,Night,112,2,3,3,Yes,Mobile
A00065,9.228,76.5272,2024-08-21,08:05:20,Sunday,1014,Highway,70,Overcast,766,Night,173,2,2,2,Yes,Alcohol
A00066,11.6203,76.1241,2024-01-12,01:12:08,Tuesday,948,Highway,40,Clear,534,Daylight,180,2,4,0,Yes,Alcohol
A00067,8.6171,75.9635,2024-01-04,09:51:12,Monday,1401,Highway,70,Fog,309,Night,152,1,3,2,Yes,Alcohol
A00068,10.3749,77.2668,2024-02-10,12:41:10,Thursday,1734,Urban,40,Overcast,276,Daylight,56,1,2,2,Yes,None
A00069,12.2328,76.2618,2024-10-17,18:30:48,Tuesday,776,Highway,60,Rain,1560,Daylight,59,3,1,3,Yes,Alcohol
A00070,8.2484,74.0951,2024-09-10,19:06:19,Sunday,951,Residential,60,Rain,1261,Night,114,1,3,3,Yes,Alcohol
A00071,8.169,75.5281,2024-07-27,05:24:22,Sunday,1442,Residential,70,Fog,1235,Daylight,58,3,4,0,No,Mobile
A00072,8.4203,74.5113,2024-05-06,07:59:54,Monday,1655,Residential,60,Rain,478,Daylight,152,3,3,0,No,Alcohol
A00073,8.3674,76.5692,2024-09-29,19:06:27,Thursday,1240,Highway,40,Clear,1432,Daylight,187,3,4,1,Yes,Alcohol
A00074,9.3336,74.9027,2024-04-26,09:54:08,Thursday,626,Urban,30,Fog,119,Night,69,1,3,3,Yes,Alcohol
A00075,8.2522,75.6155,2024-12-12,07:24:55,Friday,543,Residential,70,Overcast,355,Night,78,2,3,1,Yes,None
A00076,8.4722,74.3858,2024-08-21,20:15:45,Monday,406,Residential,40,Overcast,800,Night,160,3,4,0,No,Fatigue
A00077,9.3712,74.6372,2024-05-29,00:11:28,Sunday,1325,Residential,40,Overcast,587,Night,195,1,2,3,Yes,Mobile
A00078,11.5871,74.4201,2024-04-19,14:35:57,Friday,1062,Residential,50,Clear,809,Daylight,132,2,1,1,No,None
A00079,8.616,74.7777,2024-02-09,10:25:59,Friday,1011,Highway,40,Fog,279,Daylight,47,3,3,3,Yes,Alcohol
A00080,10.5799,76.6709,2024-03-09,16:21:06,Tuesday,214,Highway,70,Fog,1820,Night,146,1,1,2,No,None
A00081,10.4859,74.2165,2024-07-01,08:21:21,Thursday,1261,Urban,30,Rain,1162,Daylight,117,2,1,2,Yes,Fatigue
A00082,8.4891,74.4057,2024-01-21,05:42:39,Monday,1010,Residential,40,Rain,320,Night,164,3,2,2,Yes,None
A00083,11.1674,74.8013,2024-03-02,09:44:39,Sunday,1311,Residential,30,Rain,1385,Daylight,95,3,4,3,Yes,Mobile
A00084,10.1405,74.984,2024-07-02,16:06:51,Wednesday,336,Highway,50,Clear,1514,Night,93,1,3,2,Yes,Alcohol
A00085,10.9582,75.5155,2024-12-08,00:48:50,Wednesday,854,Residential,70,Overcast,843,Night,64,2,2,2,No,Mobile
A00086,11.874,76.8831,2024-05-26,08:48:47,Friday,1793,Residential,40,Clear,696,Night,55,3,2,0,Yes,Fatigue
A00087,9.2613,76.0411,2024-12-18,22:33:17,Thursday,902,Urban,50,Rain,1214,Daylight,180,3,2,3,No,Alcohol
A00088,12.4771,75.556,2024-11-13,09:09:51,Saturday,1624,Highway,70,Rain,971,Night,115,1,2,2,No,None
A00089,12.4826,74.0143,2024-10-04,15:55:36,Wednesday,1424,Urban,50,Fog,1593,Daylight,154,2,1,1,Yes,Mobile
A00090,9.1344,77.1778,2024-11-06,10:01:53,Tuesday,1439,Residential,70,Fog,169,Night,58,1,3,1,No,Mobile
A00091,10.1045,75.4875,2024-09-26,03:50:58,Tuesday,746,Residential,70,Fog,1435,Daylight,19,3,2,0,Yes,Fatigue
A00092,9.6396,76.929,2024-01-05,19:35:48,Friday,1646,Highway,70,Fog,1162,Night,187,3,1,1,Yes,Alcohol
A00093,11.6658,74.9506,2024-12-21,10:02:22,Monday,1559,Residential,30,Rain,1601,Daylight,160,2,1,2,Yes,Mobile
A00094,8.6407,74.3266,2024-01-23,16:58:15,Sunday,413,Highway,50,Rain,1024,Night,199,2,1,2,Yes,Alcohol
A00095,8.5568,74.5491,2024-05-12,19:31:49,Thursday,481,Residential,40,Clear,1799,Daylight,79,1,4,0,No,None
A00096,12.3752,77.4307,2024-09-25,13:17:54,Saturday,393,Urban,30,Fog,408,Daylight,169,1,3,1,No,Alcohol
A00097,11.5095,76.8038,2024-09-07,08:48:55,Friday,605,Residential,60,Overcast,561,Daylight,160,3,2,1,Yes,Mobile
A00098,10.0398,75.1553,2024-12-24,13:56:42,Monday,1330,Residential,30,Clear,691,Daylight,166,2,2,3,No,Mobile
A00099,8.5726,77.0549,2024-07-17,22:12:30,Sunday,1686,Highway,60,Rain,1980,Daylight,155,3,3,2,Yes,Fatigue
A00100,12.4561,74.6956,2024-01-25,15:23:16,Friday,1149,Residential,60,Clear,1482,Night,16,2,1,3,No,Mobile
A00101,8.9076,74.9568,2024-01-31,06:57:14,Sunday,451,Highway,40,Overcast,1231,Daylight,23,3,4,3,Yes,None
A00102,11.9249,74.0609,2024-10-14,17:51:13,Sunday,904,Urban,60,Overcast,176,Daylight,159,2,4,2,No,Fatigue
A00103,8.2672,76.9361,2024-04-24,21:15:53,Tuesday,1247,Residential,70,Clear,328,Daylight,150,2,2,3,Yes,None
A00104,11.2671,74.2046,2024-09-03,23:29:27,Thursday,672,Highway,40,Overcast,1276,Daylight,197,1,1,3,No,None
A00105,11.5737,76.2206,2024-01-04,06:27:23,Friday,1693,Urban,30,Clear,1885,Night,138,1,2,3,Yes,Fatigue
A00106,10.9528,75.7779,2024-08-22,18:53:20,Thursday,800,Urban,40,Overcast,708,Night,99,3,2,3,Yes,Fatigue
A00107,11.2682,74.0343,2024-09-21,17:35:58,Wednesday,647,Residential,70,Rain,1055,Daylight,34,1,3,2,No,Mobile
A00108,11.6946,76.0675,2024-04-10,01:32:36,Wednesday,1301,Urban,60,Clear,141,Night,188,2,2,2,No,Fatigue
A00109,11.6397,74.7371,2024-05-07,20:23:38,Monday,1971,Urban,30,Fog,1800,Daylight,174,1,2,2,Yes,Fatigue
A00110,9.5435,75.6507,2024-01-28,15:00:00,Monday,367,Residential,70,Clear,245,Daylight,176,3,2,1,Yes,Fatigue
A00111,11.7692,74.3217,2024-07-25,16:29:57,Friday,1190,Urban,40,Rain,214,Daylight,183,1,3,2,Yes,Alcohol
A00112,11.6368,74.9146,2024-12-06,21:04:33,Sunday,422,Urban,40,Fog,613,Daylight,28,2,3,0,No,None
A00113,9.9601,76.5116,2024-01-10,21:29:27,Wednesday,1494,Urban,60,Fog,1620,Daylight,21,1,4,1,No,Fatigue
A00114,11.294,76.2169,2024-06-13,07:35:40,Monday,941,Highway,40,Clear,1150,Night,85,3,3,0,Yes,Mobile
A00115,9.514,74.6952,2024-02-15,01:22:13,Sunday,869,Highway,30,Overcast,870,Daylight,99,2,2,1,Yes,Mobile
A00116,11.0552,75.9223,2024-04-14,12:36:02,Monday,442,Urban,60,Overcast,1079,Daylight,20,3,2,2,No,None
A00117,10.078,74.3994,2024-04-15,14:58:30,Friday,1365,Urban,70,Fog,1740,Night,137,3,2,3,No,Mobile
A00118,9.9172,75.8182,2024-11-26,18:31:37,Saturday,774,Residential,30,Overcast,692,Night,153,1,2,3,Yes,Alcohol
A00119,12.1979,74.0153,2024-02-13,21:19:19,Sunday,1276,Urban,40,Clear,844,Daylight,149,2,4,0,Yes,Mobile
A00120,8.2356,76.2596,2024-10-22,14:03:47,Thursday,1344,Highway,70,Clear,293,Daylight,118,1,3,3,Yes,Mobile
A00121,9.1455,75.2751,2024-05-11,03:50:21,Saturday,465,Residential,60,Rain,540,Daylight,163,2,4,0,Yes,Fatigue
A00122,11.4716,75.3356,2024-02-22,16:49:04,Thursday,223,Urban,50,Overcast,1693,Night,149,1,2,2,No,None
A00123,11.8569,75.0017,2024-09-13,04:48:00,Wednesday,283,Highway,70,Fog,737,Daylight,11,3,1,0,No,Alcohol
A00124,9.6438,76.198,2024-11-26,11:00:44,Tuesday,324,Urban,50,Rain,1732,Night,77,1,4,2,No,Alcohol
A00125,11.5721,75.0386,2024-02-07,09:34:07,Thursday,1127,Urban,60,Overcast,1977,Night,65,1,2,2,No,Mobile
A00126,10.0617,75.5639,2024-05-13,06:29:44,Sunday,1693,Residential,30,Overcast,1068,Daylight,200,1,4,3,No,None
A00127,8.4878,76.8879,2024-01-08,11:05:48,Friday,496,Highway,50,Fog,615,Night,86,1,1,2,No,Fatigue
A00128,10.8048,74.3526,2024-09-07,01:04:19,Friday,1658,Highway,40,Overcast,1247,Night,71,1,3,1,Yes,Mobile
A00129,8.1624,74.8619,2024-03-15,00:12:36,Monday,826,Residential,60,Overcast,1426,Daylight,105,1,3,1,Yes,Alcohol
A00130,9.7778,76.0507,2024-08-29,22:02:23,Wednesday,1529,Urban,50,Overcast,1544,Daylight,177,3,4,0,Yes,None
A00131,11.7371,76.7834,2024-08-15,05:27:06,Monday,1455,Urban,40,Rain,1977,Daylight,95,1,3,2,No,None
A00132,8.1699,77.4579,2024-07-21,22:55:05,Thursday,1417,Residential,50,Overcast,1674,Daylight,45,3,1,2,Yes,Mobile
A00133,11.1606,77.0036,2024-10-12,02:23:22,Saturday,1450,Highway,50,Clear,976,Daylight,111,2,4,1,Yes,Mobile
A00134,9.0686,75.3689,2024-10-01,00:53:32,Wednesday,357,Residential,40,Fog,1863,Night,91,2,3,1,No,Mobile
A00135,12.1674,74.8466,2024-04-24,13:56:28,Wednesday,288,Highway,60,Clear,1671,Daylight,114,1,3,1,No,Fatigue
A00136,11.9476,74.7731,2024-05-24,13:48:20,Monday,1939,Residential,40,Overcast,1542,Daylight,105,3,1,1,No,Alcohol
A00137,10.4099,77.0931,2024-02-28,18:52:34,Wednesday,821,Highway,40,Fog,1159,Daylight,91,2,3,0,No,Alcohol
A00138,11.895,76.8016,2024-07-13,20:43:04,Saturday,1978,Urban,40,Clear,1341,Daylight,87,2,1,3,No,Mobile
A00139,12.4183,76.7264,2024-10-24,11:26:54,Saturday,307,Highway,30,Overcast,1012,Daylight,97,3,4,3,No,Fatigue
A00140,9.3267,75.9953,2024-01-01,12:41:12,Monday,1724,Highway,40,Rain,1179,Night,22,2,1,3,No,Fatigue
A00141,8.3529,74.4927,2024-02-03,22:03:11,Monday,1033,Urban,40,Overcast,929,Night,44,2,4,0,Yes,Alcohol
A00142,11.6616,77.0174,2024-05-09,00:16:59,Wednesday,1930,Highway,50,Rain,501,Daylight,165,3,2,1,Yes,Fatigue
A00143,9.8308,75.9525,2024-08-09,06:51:48,Sunday,1582,Highway,40,Rain,664,Daylight,150,1,3,3,No,Mobile
A00144,9.8015,75.5279,2024-03-06,18:42:18,Sunday,1970,Highway,60,Clear,145,Daylight,198,3,4,2,Yes,Mobile
A00145,11.2927,74.8309,2024-06-02,21:52:50,Wednesday,1320,Urban,70,Overcast,838,Daylight,62,3,3,3,No,Alcohol
A00146,10.8545,75.7667,2024-11-19,22:59:27,Monday,625,Highway,60,Overcast,1695,Daylight,167,2,3,2,Yes,Fatigue
A00147,10.2565,76.4486,2024-10-15,08:04:57,Sunday,1500,Urban,30,Clear,776,Night,107,1,4,1,No,Alcohol
A00148,8.7423,74.5474,2024-08-01,07:58:14,Wednesday,660,Residential,40,Fog,552,Night,154,3,4,1,No,Fatigue
A00149,9.3054,74.776,2024-10-03,22:06:55,Friday,1993,Residential,60,Fog,350,Night,52,2,3,2,Yes,Fatigue
A00150,8.747,76.2175,2024-01-05,06:32:17,Saturday,1523,Highway,40,Fog,1281,Night,174,1,2,3,Yes,Mobile
A00151,10.1366,74.0094,2024-02-24,12:57:02,Thursday,438,Highway,30,Fog,1752,Night,113,1,1,2,No,Fatigue
A00152,9.3532,77.4996,2024-03-12,06:13:04,Friday,885,Urban,60,Fog,1921,Night,33,3,4,2,Yes,Alcohol
A00153,8.3706,75.1674,2024-02-26,05:22:28,Monday,1197,Urban,30,Clear,773,Daylight,23,2,3,0,No,Fatigue
A00154,8.2263,76.6561,2024-12-07,15:30:34,Sunday,237,Urban,60,Clear,948,Daylight,188,2,4,1,Yes,Mobile
A00155,8.4998,75.4426,2024-02-05,01:15:47,Sunday,1371,Highway,30,Clear,1342,Daylight,59,2,2,2,No,Alcohol
A00156,10.8378,74.0402,2024-06-04,12:01:24,Friday,817,Urban,50,Clear,1820,Night,20,3,3,2,Yes,Mobile
A00157,11.3929,77.1366,2024-08-29,10:31:01,Friday,1319,Highway,60,Overcast,1112,Daylight,184,2,1,3,No,Alcohol
A00158,9.4548,74.9001,2024-02-14,19:01:59,Wednesday,1764,Highway,40,Clear,230,Daylight,99,2,3,3,Yes,None
A00159,8.6702,76.195,2024-03-06,13:01:05,Wednesday,1067,Urban,50,Rain,354,Night,26,3,4,1,Yes,Alcohol
A00160,9.2958,74.6186,2024-04-01,10:55:06,Saturday,1045,Residential,60,Rain,424,Night,54,1,4,2,No,None
A00161,10.7169,76.6466,2024-06-23,08:47:09,Wednesday,209,Residential,50,Rain,1382,Night,151,1,1,1,No,None
A00162,10.416,77.458,2024-09-27,23:32:35,Monday,1136,Residential,50,Overcast,873,Daylight,28,2,1,2,No,Mobile
A00163,12.0664,74.6139,2024-09-29,05:22:47,Tuesday,621,Urban,70,Fog,949,Daylight,22,1,1,0,No,None
A00164,11.6661,74.3767,2024-07-20,16:50:15,Wednesday,1886,Highway,60,Fog,1019,Night,109,2,2,3,No,Fatigue
A00165,12.2428,74.5618,2024-04-25,00:53:37,Sunday,1957,Highway,40,Overcast,429,Daylight,149,2,1,2,No,Mobile
A00166,8.8568,76.2475,2024-12-01,01:50:30,Thursday,1252,Highway,30,Fog,863,Night,193,3,1,2,No,Alcohol
A00167,8.8311,76.8898,2024-08-16,06:00:42,Friday,888,Highway,70,Overcast,1765,Night,91,3,2,0,Yes,Alcohol
A00168,11.4859,75.5552,2024-06-21,12:41:03,Wednesday,1022,Urban,40,Overcast,361,Daylight,41,1,3,3,Yes,Mobile
A00169,12.4467,76.0402,2024-02-28,06:33:37,Wednesday,1379,Highway,60,Clear,1239,Night,181,2,1,3,Yes,Fatigue
A00170,10.7701,74.8782,2024-03-09,14:45:14,Tuesday,497,Highway,70,Rain,117,Daylight,87,3,2,1,Yes,None
A00171,10.3818,75.4659,2024-12-11,22:43:37,Tuesday,1409,Highway,40,Clear,1314,Night,18,2,3,1,Yes,Alcohol
A00172,11.4354,75.3645,2024-01-16,18:18:15,Saturday,1623,Residential,60,Fog,1804,Daylight,112,2,2,0,Yes,Alcohol
A00173,8.3392,74.1833,2024-11-22,06:47:56,Friday,1644,Highway,70,Rain,1072,Night,189,1,3,0,No,Mobile
A00174,12.1115,76.7297,2024-12-02,09:19:33,Tuesday,1210,Urban,60,Rain,1398,Daylight,21,2,2,0,Yes,None
A00175,8.1152,76.2239,2024-07-01,08:58:31,Monday,1679,Urban,30,Rain,244,Night,16,3,1,2,No,Alcohol
A00176,12.0525,76.7663,2024-12-02,15:34:10,Friday,1258,Urban,50,Clear,275,Night,94,3,1,0,No,Fatigue
A00177,10.5403,75.1649,2024-05-23,10:41:30,Thursday,1434,Residential,40,Clear,805,Night,38,2,2,2,No,Mobile
A00178,12.3616,77.1097,2024-11-13,14:03:07,Thursday,995,Urban,40,Clear,1811,Daylight,175,1,3,3,Yes,Alcohol
